Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:25:18,22-08-2024 17:25:41,22.376s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:25:41,22-08-2024 17:25:42,1.309s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:25:42,22-08-2024 17:25:46,4.101s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:25:46,22-08-2024 17:25:47,0.869s,PASSED
"selectOptionByValue(findTestObject(""hitungHarga/jangkaWaktu""), tahun, false)",Chrome 127.0.0.0,,,22-08-2024 17:25:47,22-08-2024 17:25:48,0.824s,PASSED
"value = getAttribute(findTestObject(""hitungHarga/selectJangkaWaktu""), ""tahun"")",Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.312s,PASSED
bulanInt = Integer.valueOf(tahun),Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.002s,PASSED
pengeluaranInt = Integer.valueOf(pengeluaran),Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.000s,PASSED
penghasilanInt = Integer.valueOf(penghasilan),Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.001s,PASSED
if (penghasilanInt <= pengeluaranInt),Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.315s,PASSED
println(hitung),Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:48,0.001s,PASSED
"scrollToElement(findTestObject(""hitungHarga/pengeluaran""), 0)",Chrome 127.0.0.0,,,22-08-2024 17:25:48,22-08-2024 17:25:49,0.337s,PASSED
"verifyElementClickable(findTestObject(""hitungHarga/buttonHitung""))",Chrome 127.0.0.0,,,22-08-2024 17:25:49,22-08-2024 17:25:50,0.709s,FAILED
,,,,,,,
Test Cases/hitungProperti,Chrome 127.0.0.0,,,22-08-2024 17:25:50,22-08-2024 17:26:26,36.410s,PASSED
"openBrowser(""https://www.btnproperti.co.id/tools/hitung-harga-properti"")",Chrome 127.0.0.0,,,22-08-2024 17:25:50,22-08-2024 17:25:54,4.747s,PASSED
maximizeWindow(),Chrome 127.0.0.0,,,22-08-2024 17:25:54,22-08-2024 17:25:54,0.109s,PASSED
"setText(findTestObject(""hitungHarga/penghasilanTotal""), penghasilan)",Chrome 127.0.0.0,,,22-08-2024 17:25:54,22-08-2024 17:26:16,21.900s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:26:16,22-08-2024 17:26:18,1.239s,PASSED
"setText(findTestObject(""hitungHarga/pengeluaran""), pengeluaran)",Chrome 127.0.0.0,,,22-08-2024 17:26:18,22-08-2024 17:26:21,2.996s,PASSED
takeFullPageScreenshot(),Chrome 127.0.0.0,,,22-08-2024 17:26:21,22-08-2024 17:26:22,1.175s,PASSED
